method,test_year,label,node_type,parent,support,close_positive_decisions,close_positive_precision,positive_coverage,defer_rate,is_late_emerging
F-DFHC without utility,2025,Organizational issues-Management,child,Organizational issues,3,0,nan,0.0,0.0,False
F-DFHC without utility,2025,Organizational issues-Support/oversight/monitoring,child,Organizational issues,4,0,nan,0.0,0.0,False
F-DFHC without utility,2025,Personnel issues-Action/decision,child,Personnel issues,197,0,nan,0.0,0.8685015290519877,False
F-DFHC without utility,2025,Personnel issues-Experience/knowledge,child,Personnel issues,19,0,nan,0.0,0.0,False
F-DFHC without utility,2025,Personnel issues-Physical,child,Personnel issues,8,0,nan,0.0,0.0,False
F-DFHC without utility,2025,Personnel issues-Psychological,child,Personnel issues,97,0,nan,0.0,0.0,True
F-DFHC without utility,2025,Personnel issues-Task performance,child,Personnel issues,414,0,nan,0.0,0.9923547400611621,False
F-DFHC-U full,2025,Aircraft,parent,Aircraft,530,105,0.9047619047619048,0.1792452830188679,0.8073394495412844,False
F-DFHC-U full,2025,Personnel issues,parent,Personnel issues,552,0,nan,0.0,1.0,False
F-DFHC-U full,2025,Environmental issues,parent,Environmental issues,254,0,nan,0.0,0.9067278287461774,False
F-DFHC-U full,2025,Organizational issues,parent,Organizational issues,5,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Not determined,parent,Not determined,14,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Aircraft-Aircraft handling/service,child,Aircraft,2,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Aircraft-Aircraft oper/perf/capability,child,Aircraft,372,4,1.0,0.010752688172043012,0.8868501529051988,False
F-DFHC-U full,2025,Aircraft-Aircraft power plant,child,Aircraft,19,3,0.6666666666666667,0.10526315789473684,0.0,False
F-DFHC-U full,2025,Aircraft-Aircraft propeller/rotor,child,Aircraft,7,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Aircraft-Aircraft structures,child,Aircraft,8,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Aircraft-Aircraft systems,child,Aircraft,107,1,1.0,0.009345794392523364,0.061162079510703404,True
F-DFHC-U full,2025,Aircraft-Fluids/misc hardware,child,Aircraft,49,1,1.0,0.02040816326530612,0.0,True
F-DFHC-U full,2025,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,159,0,nan,0.0,0.35474006116207946,True
F-DFHC-U full,2025,Environmental issues-Operating environment,child,Environmental issues,10,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Environmental issues-Physical environment,child,Environmental issues,106,0,nan,0.0,0.16055045871559637,True
F-DFHC-U full,2025,Not determined-Not determined,child,Not determined,14,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Organizational issues-Development,child,Organizational issues,2,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Organizational issues-Management,child,Organizational issues,3,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Organizational issues-Support/oversight/monitoring,child,Organizational issues,4,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Personnel issues-Action/decision,child,Personnel issues,197,0,nan,0.0,0.8685015290519877,False
F-DFHC-U full,2025,Personnel issues-Experience/knowledge,child,Personnel issues,19,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Personnel issues-Physical,child,Personnel issues,8,0,nan,0.0,0.0,False
F-DFHC-U full,2025,Personnel issues-Psychological,child,Personnel issues,97,0,nan,0.0,0.0,True
F-DFHC-U full,2025,Personnel issues-Task performance,child,Personnel issues,414,0,nan,0.0,0.9923547400611621,False
F-DFHC-U w/o projection,2025,Aircraft,parent,Aircraft,530,105,0.9047619047619048,0.1792452830188679,0.8073394495412844,False
F-DFHC-U w/o projection,2025,Personnel issues,parent,Personnel issues,552,0,nan,0.0,1.0,False
F-DFHC-U w/o projection,2025,Environmental issues,parent,Environmental issues,254,0,nan,0.0,0.9067278287461774,False
F-DFHC-U w/o projection,2025,Organizational issues,parent,Organizational issues,5,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Not determined,parent,Not determined,14,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Aircraft-Aircraft handling/service,child,Aircraft,2,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Aircraft-Aircraft oper/perf/capability,child,Aircraft,372,4,1.0,0.010752688172043012,0.8883792048929664,False
F-DFHC-U w/o projection,2025,Aircraft-Aircraft power plant,child,Aircraft,19,3,0.6666666666666667,0.10526315789473684,0.0,False
F-DFHC-U w/o projection,2025,Aircraft-Aircraft propeller/rotor,child,Aircraft,7,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Aircraft-Aircraft structures,child,Aircraft,8,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Aircraft-Aircraft systems,child,Aircraft,107,1,1.0,0.009345794392523364,0.061162079510703404,True
F-DFHC-U w/o projection,2025,Aircraft-Fluids/misc hardware,child,Aircraft,49,1,1.0,0.02040816326530612,0.0,True
F-DFHC-U w/o projection,2025,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,159,0,nan,0.0,0.35474006116207946,True
F-DFHC-U w/o projection,2025,Environmental issues-Operating environment,child,Environmental issues,10,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Environmental issues-Physical environment,child,Environmental issues,106,0,nan,0.0,0.1620795107033639,True
F-DFHC-U w/o projection,2025,Not determined-Not determined,child,Not determined,14,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Organizational issues-Development,child,Organizational issues,2,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Organizational issues-Management,child,Organizational issues,3,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Organizational issues-Support/oversight/monitoring,child,Organizational issues,4,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Personnel issues-Action/decision,child,Personnel issues,197,0,nan,0.0,0.8685015290519877,False
F-DFHC-U w/o projection,2025,Personnel issues-Experience/knowledge,child,Personnel issues,19,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Personnel issues-Physical,child,Personnel issues,8,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2025,Personnel issues-Psychological,child,Personnel issues,97,0,nan,0.0,0.0,True
F-DFHC-U w/o projection,2025,Personnel issues-Task performance,child,Personnel issues,414,0,nan,0.0,0.9923547400611621,False
