method,test_year,positive_coverage,close_positive_precision,overall_coverage,empirical_all_risk,lower_positive_coverage,certified_all_bound,child_positive_alpha,parent_positive_alpha,personnel_parent_positive_alpha,parent_positive_floor,negative_alpha,reliability_floor,child_reliability_lcb_floor,aircraft_child_floor,child_margin
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.0,0.08,0.04,0.75,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.0,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.0,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.0,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.7,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.7,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.7,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.7,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.72,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.72,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.72,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.72,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.73,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.73,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.73,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.73,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.74,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.74,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.74,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.74,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.746,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.746,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.746,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.746,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.75,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.75,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.75,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.0,0.75,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.0,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.0,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.0,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.0,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.7,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.7,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.7,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.7,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.72,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.72,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.72,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.72,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.73,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.73,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.73,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.73,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.74,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.74,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.74,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.74,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.746,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.746,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.746,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.746,0.1,0.9,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.75,0.1,0.0,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.75,0.1,0.0,0.85,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.75,0.1,0.9,0.0,0.0,0.0
LTT without hierarchy,2023,0.028818986626483332,0.9053254437869822,0.6634571919356297,0.0464243739264081,0.0,0.07172416713541102,0.02,0.08,0.02,0.75,0.1,0.9,0.85,0.0,0.0
