positive_alpha,negative_alpha,late_positive_alpha,min_count,candidate_count,coverage,positive_coverage,empirical_all_risk,empirical_plus_risk,empirical_hierarchy_risk,empirical_late_risk,upper_all_risk,upper_plus_risk,upper_hierarchy_risk,upper_late_risk,feasible,test_year
0.0,0.055,0.0,5,27,0.6743497670807453,0.004025494800402549,0.022418478260869564,0.0,0.0,0.0,0.038729864741201055,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.055,0.01,5,27,0.6743497670807453,0.004025494800402549,0.022418478260869564,0.0,0.0,0.0,0.038729864741201055,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.055,0.02,5,27,0.6743497670807453,0.004025494800402549,0.022418478260869564,0.0,0.0,0.0,0.038729864741201055,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.06,0.0,5,27,0.6996797360248447,0.004025494800402549,0.025815217391304348,0.0,0.0,0.0,0.042396270397295745,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.06,0.01,5,27,0.6996797360248447,0.004025494800402549,0.025815217391304348,0.0,0.0,0.0,0.042396270397295745,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.06,0.02,5,27,0.6996797360248447,0.004025494800402549,0.025815217391304348,0.0,0.0,0.0,0.042396270397295745,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.065,0.0,5,27,0.7094817546583851,0.004025494800402549,0.027416537267080744,0.0,0.0,0.0,0.044100814586257225,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.065,0.01,5,27,0.7094817546583851,0.004025494800402549,0.027416537267080744,0.0,0.0,0.0,0.044100814586257225,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.065,0.02,5,27,0.7094817546583851,0.004025494800402549,0.027416537267080744,0.0,0.0,0.0,0.044100814586257225,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.07,0.0,5,27,0.7147224378881988,0.004025494800402549,0.028241459627329192,0.0,0.0,0.0,0.044982080770075886,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.07,0.01,5,27,0.7147224378881988,0.004025494800402549,0.028241459627329192,0.0,0.0,0.0,0.044982080770075886,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.07,0.02,5,27,0.7147224378881988,0.004025494800402549,0.028241459627329192,0.0,0.0,0.0,0.044982080770075886,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.072,0.0,5,27,0.7242818322981367,0.004025494800402549,0.029454580745341616,0.0,0.0,0.0,0.046274843996242786,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.072,0.01,5,27,0.7242818322981367,0.004025494800402549,0.029454580745341616,0.0,0.0,0.0,0.046274843996242786,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.072,0.02,5,27,0.7242818322981367,0.004025494800402549,0.029454580745341616,0.0,0.0,0.0,0.046274843996242786,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.073,0.0,5,27,0.7242818322981367,0.004025494800402549,0.029454580745341616,0.0,0.0,0.0,0.046274843996242786,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.073,0.01,5,27,0.7242818322981367,0.004025494800402549,0.029454580745341616,0.0,0.0,0.0,0.046274843996242786,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.073,0.02,5,27,0.7242818322981367,0.004025494800402549,0.029454580745341616,0.0,0.0,0.0,0.046274843996242786,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.075,0.0,5,27,0.7321913819875776,0.004025494800402549,0.03226902173913043,0.0,0.0,0.0,0.04922455921099329,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.075,0.01,5,27,0.7321913819875776,0.004025494800402549,0.03226902173913043,0.0,0.0,0.0,0.04922455921099329,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.075,0.02,5,27,0.7321913819875776,0.004025494800402549,0.03226902173913043,0.0,0.0,0.0,0.04922455921099329,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.08,0.0,5,27,0.7358307453416149,0.004025494800402549,0.0328513198757764,0.0,0.0,0.0,0.04989603441767142,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.08,0.01,5,27,0.7358307453416149,0.004025494800402549,0.0328513198757764,0.0,0.0,0.0,0.04989603441767142,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.08,0.02,5,27,0.7358307453416149,0.004025494800402549,0.0328513198757764,0.0,0.0,0.0,0.04989603441767142,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.09,0.0,5,27,0.7627620341614907,0.004025494800402549,0.03872282608695652,0.0,0.0,0.0,0.05596746294586098,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.09,0.01,5,27,0.7627620341614907,0.004025494800402549,0.03872282608695652,0.0,0.0,0.0,0.05596746294586098,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.09,0.02,5,27,0.7627620341614907,0.004025494800402549,0.03872282608695652,0.0,0.0,0.0,0.05596746294586098,0.012663303351677768,0.0,0.012663303351677768,True,2023
